From	To	Species	Gene Name
185396	NM_068355	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F36H12.10)
184322	NM_001264348	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F10G8.1)
184322	NM_001264349	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F10G8.1)
185911	NM_071659	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-32)
177295	NM_068340	Caenorhabditis elegans	Troponin I 4(tni-4)
179210	NM_072733	Caenorhabditis elegans	ASpartyl Protease(asp-12)
177935	NM_069524	Caenorhabditis elegans	hypothetical protein(F13B12.2)
175822	NM_065864	Caenorhabditis elegans	Aspartyl aminopeptidase(dnpp-1)
175823	NM_065865	Caenorhabditis elegans	RABaptiN (rab effector)(rabn-5)
177939	NM_069532	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-44)
179935	NM_074157	Caenorhabditis elegans	Choline/EthanolaminePhosphoTransferase(cept-2)
183141	NM_001307015	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-21)
183141	NM_069279	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-21)
177970	NM_001268581	Caenorhabditis elegans	INositol Polyphosphate-5-Phosphatase(inpp-1)
177970	NM_001268582	Caenorhabditis elegans	INositol Polyphosphate-5-Phosphatase(inpp-1)
177970	NM_001307145	Caenorhabditis elegans	INositol Polyphosphate-5-Phosphatase(inpp-1)
187730	NM_001313242	Caenorhabditis elegans	CHItinase-Like(chil-14)
187730	NM_071019	Caenorhabditis elegans	CHItinase-Like(chil-14)
4363014	NM_001264762	Caenorhabditis elegans	RAB family(rab-11.2)
4363014	NR_101628	Caenorhabditis elegans	RAB family(rab-11.2)
4363014	NR_050594	Caenorhabditis elegans	RAB family(rab-11.2)
184107	NM_059680	Caenorhabditis elegans	SCAVenger receptor (CD36 family) related(scav-6)
181834	NM_059321	Caenorhabditis elegans	Protein-tyrosine-phosphatase(B0207.1)
175930	NM_066045	Caenorhabditis elegans	hypothetical protein(C09E7.7)
175833	NM_065881	Caenorhabditis elegans	Putative ER lumen protein-retaining receptor C28H8.4(C28H8.4)
174451	NM_063543	Caenorhabditis elegans	DNaJ domain (prokaryotic heat shock protein)(dnj-23)
175937	NM_066057	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F20H11.4)
179117	NM_072438	Caenorhabditis elegans	hypothetical protein(hpo-9)
175931	NM_181966	Caenorhabditis elegans	hypothetical protein(C09E7.8)
175931	NM_066046	Caenorhabditis elegans	hypothetical protein(C09E7.8)
184652	NM_001307487	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307485	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307486	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307480	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307430	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307483	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307484	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307481	Caenorhabditis elegans	CaDHerin family(cdh-8)
184652	NM_001307482	Caenorhabditis elegans	CaDHerin family(cdh-8)
174031	NM_062843	Caenorhabditis elegans	Phospholipid-transporting ATPase(tat-4)
174031	NM_062844	Caenorhabditis elegans	Phospholipid-transporting ATPase(tat-4)
174031	NM_062845	Caenorhabditis elegans	Phospholipid-transporting ATPase(tat-4)
176450	NM_066886	Caenorhabditis elegans	T-box transcription factor tbx-8(tbx-8)
176450	AB121091	Caenorhabditis elegans	T-box transcription factor tbx-8(tbx-8)
181741	NM_078343	Caenorhabditis elegans	hypothetical protein(F52G3.1)
173049	NM_060568	Caenorhabditis elegans	hypothetical protein(W04G5.10)
259839	NM_061195	Caenorhabditis elegans	Myosin-4(unc-54)
187705	NM_071650	Caenorhabditis elegans	CYtochrome P450 family(cyp-33C8)
185379	NM_069657	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F36H1.3)
173694	NM_001047361	Caenorhabditis elegans	hypothetical protein(Y49F6B.9)
173694	NM_001047360	Caenorhabditis elegans	hypothetical protein(Y49F6B.9)
183065	NM_070695	Caenorhabditis elegans	hypothetical protein(tag-141)
179028	NM_001307746	Caenorhabditis elegans	Eukaryotic peptide chain release factor subunit 1(erfa-1)
179028	NM_001028936	Caenorhabditis elegans	Eukaryotic peptide chain release factor subunit 1(erfa-1)
173050	NM_060569	Caenorhabditis elegans	protein KINase(kin-23)
179228	NM_072778	Caenorhabditis elegans	N-alpha-AcetylTransferase C complex subunit(natc-1)
176802	NM_067418	Caenorhabditis elegans	Histone-lysine N-methyltransferase(set-16)
179223	NM_072770	Caenorhabditis elegans	Probable V-type proton ATPase subunit H 1(vha-18)
176449	NM_066885	Caenorhabditis elegans	T-box transcription factor tbx-9(tbx-9)
176449	AB019521	Caenorhabditis elegans	T-box transcription factor tbx-9(tbx-9)
179226	NM_072776	Caenorhabditis elegans	hypothetical protein(T23B12.6)
179225	NM_072772	Caenorhabditis elegans	LysM Domain (peptidoglycan binding) protein(lmd-3)
179225	NM_182349	Caenorhabditis elegans	LysM Domain (peptidoglycan binding) protein(lmd-3)
179225	NM_072774	Caenorhabditis elegans	LysM Domain (peptidoglycan binding) protein(lmd-3)
179225	NM_072773	Caenorhabditis elegans	LysM Domain (peptidoglycan binding) protein(lmd-3)
176549	NM_067040	Caenorhabditis elegans	Putative T-box protein 34(tbx-34)
175943	AF399852	Caenorhabditis elegans	Rabphilin-1(rbf-1)
175943	NM_066066	Caenorhabditis elegans	Rabphilin-1(rbf-1)
175943	NM_001027395	Caenorhabditis elegans	Rabphilin-1(rbf-1)
175943	NM_001027396	Caenorhabditis elegans	Rabphilin-1(rbf-1)
175943	NM_001027397	Caenorhabditis elegans	Rabphilin-1(rbf-1)
181135	NM_001029338	Caenorhabditis elegans	hypothetical protein(ensh-1)
181135	NM_001029337	Caenorhabditis elegans	hypothetical protein(ensh-1)
4363106	NM_001047660	Caenorhabditis elegans	BasoNuClin-1 zinc finger protein homolog(bnc-1)
174046	NM_062872	Caenorhabditis elegans	hypothetical protein(C32D5.6)
188350	NM_071696	Caenorhabditis elegans	CYtochrome P450 family(cyp-34A4)
173787	NM_062396	Caenorhabditis elegans	CYtochrome P450 family(cyp-23A1)
4363100	NM_001313076	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001313289	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001313075	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001313078	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001313077	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001313079	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001047716	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001313081	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
4363100	NM_001313080	Caenorhabditis elegans	ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)
173986	NM_062755	Caenorhabditis elegans	TBC (Tre-2/Bub2/Cdc16) domain family(tbc-2)
175817	NM_171867	Caenorhabditis elegans	Mediator of RNA polymerase II transcription subunit 15(mdt-15)
175817	NM_171134	Caenorhabditis elegans	Mediator of RNA polymerase II transcription subunit 15(mdt-15)
175952	NM_066082	Caenorhabditis elegans	LIM domain family(lim-8)
175952	NM_066083	Caenorhabditis elegans	LIM domain family(lim-8)
175952	NM_171173	Caenorhabditis elegans	LIM domain family(lim-8)
177279	NM_068317	Caenorhabditis elegans	Protein-tyrosine-phosphatase(C02B10.6)
175956	NM_066093	Caenorhabditis elegans	N-terminal acetyltransferase B complex subunit NAA25 homolog(cra-1)
184847	NM_001270272	Caenorhabditis elegans	Choline/EthanolaminePhosphoTransferase(cept-1)
