Gene stable ID	Gene start (bp)	Gene end (bp)
WBGene00000001	5107833	5110183
WBGene00000006	2571782	2576020
WBGene00000010	11388689	11396660
WBGene00000012	3886111	3887080
WBGene00000013	3885548	3885905
WBGene00000020	2255923	2272866
WBGene00000023	12011195	12018668
WBGene00000036	3302001	3307587
WBGene00000045	4359207	4362548
WBGene00000050	6621687	6624894
WBGene00000058	9031274	9036695
WBGene00000079	7773180	7777652
WBGene00000084	7602307	7608245
WBGene00000088	14850054	14855827
WBGene00000089	13543079	13545188
WBGene00000095	10193925	10197000
WBGene00000096	9522578	9531130
WBGene00000099	5937477	5938885
WBGene00000138	12759545	12764960
WBGene00000140	4321095	4359080
WBGene00000147	9232071	9233560
WBGene00000148	10340997	10345648
WBGene00000150	5342180	5344724
WBGene00000155	4964667	4967089
WBGene00000156	8050043	8055489
WBGene00000158	14406028	14417942
WBGene00000163	7853750	7857850
WBGene00000165	1154511	1156020
WBGene00000177	9605896	9609025
WBGene00000197	3983171	3986915
WBGene00000199	2883546	2893718
WBGene00000205	3069325	3070150
WBGene00000209	8692946	8693468
WBGene00000227	183364	208465
WBGene00000230	5428469	5429908
WBGene00000232	5967250	5973320
WBGene00000236	6563629	6564451
WBGene00000237	2949600	2957910
WBGene00000241	14371142	14376025
WBGene00000253	146486	154850
WBGene00000254	6342231	6356678
WBGene00000269	1621346	1628476
WBGene00000272	5186926	5188995
WBGene00000275	7251941	7255223
WBGene00000284	3629471	3631112
WBGene00000368	3641668	3647009
WBGene00000371	9788749	9790050
WBGene00000382	4268070	4270287
WBGene00000386	6469386	6471995
WBGene00000408	2281504	2291183
WBGene00000409	8702478	8705825
WBGene00000410	11323527	11333152
WBGene00000413	3223160	3228104
WBGene00000415	11851566	11868105
WBGene00000426	10222881	10227009
WBGene00000429	6046832	6050462
WBGene00000430	9727169	9728034
WBGene00000431	8498114	8502412
WBGene00000433	8245722	8250896
WBGene00000434	565436	566414
WBGene00000436	5840289	5841888
WBGene00000440	4568962	4570027
WBGene00000466	9665194	9668664
WBGene00000467	8324120	8328853
WBGene00000468	8633925	8636044
WBGene00000469	14961501	14965361
WBGene00000473	5619569	5620668
WBGene00000474	5571787	5573019
WBGene00000476	9994731	9999928
WBGene00000483	6517575	6520879
WBGene00000485	8062059	8081671
WBGene00000492	10507000	10515506
WBGene00000493	5746633	5754278
WBGene00000496	7554855	7559916
WBGene00000500	6181314	6183913
WBGene00000502	5103581	5104956
WBGene00000527	8705670	8724279
WBGene00000540	5274693	5278708
WBGene00000544	12073143	12084221
WBGene00000583	6250475	6252834
WBGene00000596	7401674	7402753
WBGene00000612	7385907	7386935
WBGene00000622	115739	117438
WBGene00000623	741913	745570
WBGene00000624	745859	748288
WBGene00000625	3010688	3011648
WBGene00000626	3137185	3138447
WBGene00000627	3651230	3652599
WBGene00000628	3653997	3655265
WBGene00000629	4571214	4572787
WBGene00000630	5644729	5646370
WBGene00000631	5842709	5844050
WBGene00000632	6199141	6200193
WBGene00000633	6232777	6234280
WBGene00000634	6311229	6312413
WBGene00000636	7105302	7106926
WBGene00000637	7202242	7203533
WBGene00000638	7403291	7404374
WBGene00000639	8243695	8244963
WBGene00000640	9893698	9895596
WBGene00000641	11489158	11490630
WBGene00000642	11559446	11560565
WBGene00000761	5412841	5415629
WBGene00000764	3869214	3870114
WBGene00000772	5788634	5791752
WBGene00000777	8636123	8637971
WBGene00000779	3987842	3988699
WBGene00000780	10924240	10925753
WBGene00000787	4446577	4448461
WBGene00000788	2686639	2689493
WBGene00000794	3481987	3484499
WBGene00000800	2623102	2628577
WBGene00000801	2629685	2632320
WBGene00000812	71425	81071
WBGene00000814	6022660	6026874
WBGene00000821	11888501	11890558
WBGene00000832	2606754	2617360
WBGene00000843	10398944	10400195
WBGene00000867	4114734	4116370
WBGene00000869	8022674	8024422
WBGene00000871	6780806	6784396
WBGene00000881	15040427	15041274
WBGene00000890	8646451	8651777
WBGene00000891	13566258	13572063
WBGene00000896	6553481	6554290
WBGene00000904	8584081	8587505
WBGene00000912	10750343	10776700
WBGene00000917	332611	337839
WBGene00000931	10187515	10190896
WBGene00000937	6490716	6492727
WBGene00000938	7536204	7542157
WBGene00000962	4386785	4401980
WBGene00000963	7238994	7243967
WBGene00000965	5278803	5281526
WBGene00000966	5354160	5357026
WBGene00000967	8212362	8218361
WBGene00000968	9647603	9649238
WBGene00001008	12565804	12572801
WBGene00001022	5282085	5283944
WBGene00001030	14756858	14759354
WBGene00001039	5676827	5677646
WBGene00001045	11877803	11887278
WBGene00001046	2996401	3001382
WBGene00001047	14104429	14113179
WBGene00001048	2718027	2721475
WBGene00001049	15017283	15023017
WBGene00001050	5003351	5005163
WBGene00001056	6838354	6843343
WBGene00001067	5432158	5433054
WBGene00001075	6843589	6845134
WBGene00001112	10464328	10471056
WBGene00001115	1483083	1490494
WBGene00001117	4989568	4994675
WBGene00001121	9359075	9364180
WBGene00001131	11526918	11557851
WBGene00001136	7308603	7311939
WBGene00001145	9722550	9726282
WBGene00001147	14391960	14395241
