Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Caenorhabditis elegans gene stable ID	Caenorhabditis elegans chromosome/scaffold name	Caenorhabditis elegans chromosome/scaffold start (bp)	Caenorhabditis elegans chromosome/scaffold end (bp)	%id. target Caenorhabditis elegans gene identical to query gene	%id. query gene identical to target Caenorhabditis elegans gene	Caenorhabditis elegans orthology confidence [0 low, 1 high]
ENSG00000137955	1	75786197	75795079	WBGene00015099	III	7133766	7136460	53.7764	53.1343	0
ENSG00000143224	1	161166410	161178013	WBGene00011615	X	11948843	11951893	12.369	8.00543	
ENSG00000143224	1	161166410	161178013	WBGene00005010	I	13438058	13450216	10.4822	6.49351	
ENSG00000116791	1	74705482	74733408	WBGene00009554	I	14788125	14789517	40.1216	40.2439	1
ENSG00000160691	1	154962298	154974395	WBGene00018788	I	969089	976550	17.8082	32.9114	0
ENSG00000116667	1	184387058	184629020	WBGene00019829	X	3997340	3999341	18.1818	25.2874	0
ENSG00000116406	1	184690231	184754913	WBGene00013919	X	9958899	9964747	43.4549	43.5016	0
ENSG00000116406	1	184690231	184754913	WBGene00008258	V	11982901	11986115	13.412	19.6541	0
ENSG00000162624	1	75128434	75161533	WBGene00002988	X	1073908	1079451	23.0337	25.9494	
ENSG00000162624	1	75128434	75161533	WBGene00002987	X	3869753	3873295	32.0225	32.1127	
ENSG00000121486	1	185118098	185157072	WBGene00006613	V	14183124	14185667	11.7326	16.3498	0
ENSG00000116668	1	185157080	185291765	WBGene00022883	II	5836777	5838553	7.44444	14.2251	0
ENSG00000173171	1	155208699	155213824	WBGene00009559	I	14755154	14756432	21.6738	32.3718	0
ENSG00000163348	1	154957026	154963853	WBGene00015330	IV	5083303	5086887	8.37438	4.87106	0
ENSG00000196517	1	43991500	44031467	WBGene00012787	IV	16743830	16744197	3.96601	30.7692	
ENSG00000196517	1	43991500	44031467	WBGene00004908	IV	17312141	17315462	26.3456	26.087	
ENSG00000196517	1	43991500	44031467	WBGene00004901	I	8871791	8875253	26.3456	24.933	
ENSG00000196517	1	43991500	44031467	WBGene00004904	II	12861963	12865883	24.9292	24.1758	
ENSG00000196517	1	43991500	44031467	WBGene00004906	III	13005461	13011130	26.7705	26.8085	
ENSG00000196517	1	43991500	44031467	WBGene00000934	III	9242914	9246802	30.7365	35.2846	
ENSG00000196517	1	43991500	44031467	WBGene00004910	V	11305070	11308446	32.153	37.2131	
ENSG00000163344	1	154924734	154936991	WBGene00009335	V	10895654	10896543	40.625	40.2062	1
ENSG00000116786	1	15684332	15734769	WBGene00003084	X	4378004	4383366	7.65456	11.8003	
ENSG00000116260	1	180154834	180204030	WBGene00020426	X	2294750	2298193	19.8126	25.784	
ENSG00000168264	1	234604269	234609525	WBGene00009939	I	9902943	9910545	6.81431	7.42115	0
ENSG00000168264	1	234604269	234609525	WBGene00010867	V	13370083	13380262	23.8501	30.6346	0
ENSG00000134202	1	109733932	109741038	WBGene00001782	II	15179971	15183232	21.3333	22.0183	
ENSG00000134202	1	109733932	109741038	WBGene00001770	V	16231032	16232317	20	20.6422	
ENSG00000134202	1	109733932	109741038	WBGene00001783	II	15183801	15185385	20.8889	21.5596	
ENSG00000134202	1	109733932	109741038	WBGene00001769	V	1730759	1732000	19.5556	19.0476	
ENSG00000134202	1	109733932	109741038	WBGene00001751	IV	10139380	10140285	19.1111	20.7729	
ENSG00000134202	1	109733932	109741038	WBGene00021566	V	2556174	2557415	14.2222	25.1968	
ENSG00000134202	1	109733932	109741038	WBGene00018912	V	2447895	2449136	14.2222	25.1968	
ENSG00000134202	1	109733932	109741038	WBGene00018911	V	2453414	2456147	11.5556	24.7619	
ENSG00000134202	1	109733932	109741038	WBGene00001758	V	2561690	2564701	26.2222	28.0952	
ENSG00000134202	1	109733932	109741038	WBGene00001789	V	7398390	7399302	26.2222	28.0952	
ENSG00000134202	1	109733932	109741038	WBGene00001780	II	15177372	15178594	22.2222	23.9234	
ENSG00000134202	1	109733932	109741038	WBGene00001779	II	15174271	15174965	20.4444	21.9048	
ENSG00000134202	1	109733932	109741038	WBGene00001785	V	1921621	1922381	23.1111	24.8804	
ENSG00000134202	1	109733932	109741038	WBGene00001774	II	15163808	15164646	21.3333	22.9665	
ENSG00000134202	1	109733932	109741038	WBGene00001775	II	15164890	15165731	20.8889	22.488	
ENSG00000134202	1	109733932	109741038	WBGene00001777	II	15168538	15169860	21.3333	22.9665	
ENSG00000134202	1	109733932	109741038	WBGene00001776	II	15166194	15167406	22.6667	24.4019	
