Gene stable ID	UniParc ID
ENSG00000198888	UPI0000000AA1
ENSG00000198763	UPI0000000AA2
ENSG00000198804	UPI0000000AA3
ENSG00000198712	UPI0000000AA4
ENSG00000228253	UPI0000000AA5
ENSG00000198899	UPI0000001709
ENSG00000198938	UPI0000000369
ENSG00000198840	UPI0000000AA6
ENSG00000212907	UPI0000000AA7
ENSG00000198886	UPI0000000AA8
ENSG00000198786	UPI0000000A9D
ENSG00000198695	UPI0000000AA9
ENSG00000198727	UPI0000DA7DCA
ENSG00000205765	UPI00001D7FA4
ENSG00000137275	UPI000000DC95
ENSG00000137275	UPI000000DC95
ENSG00000205765	UPI0000F059E1
ENSG00000282471	UPI00064546E7
ENSG00000224496	UPI00002132D2
ENSG00000224496	UPI0000071E3D
ENSG00000262102	UPI00000740A1
ENSG00000214978	UPI000004E879
ENSG00000224496	UPI00002132D2
ENSG00000184544	UPI00025A2D3B
ENSG00000273976	UPI0001929533
ENSG00000184544	UPI000178DECB
ENSG00000184544	UPI0000046517
ENSG00000153404	UPI0003EB0664
ENSG00000167193	UPI000007290B
ENSG00000153404	UPI000006FCFE
ENSG00000153404	UPI0000D615EE
ENSG00000167193	UPI0000071225
ENSG00000185340	UPI0000073BD7
ENSG00000185340	UPI0001611097
ENSG00000167193	UPI00025A2C27
ENSG00000185340	UPI0001611098
ENSG00000185340	UPI0001611096
ENSG00000185340	UPI0000161439
ENSG00000185340	UPI0000073BD7
ENSG00000185340	UPI0000073BD7
ENSG00000185340	UPI0000073BD7
ENSG00000204539	UPI00001AFE92
ENSG00000204538	UPI00001AF9A5
ENSG00000130538	UPI0000041E0A
ENSG00000204540	UPI00004702D2
ENSG00000130538	UPI000004B1CF
ENSG00000137806	UPI0000127985
ENSG00000204540	UPI000000D74B
ENSG00000204540	UPI000068425C
ENSG00000137806	UPI000189277C
ENSG00000137806	UPI00022F854E
ENSG00000137806	UPI00022F854F
ENSG00000275659	UPI0001DC11DB
ENSG00000275659	UPI0009B4EC21
ENSG00000263310	UPI0002064DC7
ENSG00000267740	UPI00028409AC
ENSG00000263310	UPI00025A2BDA
ENSG00000263310	UPI00025A2BDB
ENSG00000267740	UPI00028409AD
ENSG00000267740	UPI00028409AE
ENSG00000263310	UPI0001614494
ENSG00000107295	UPI0000135933
ENSG00000174886	UPI0001AE63D7
ENSG00000231268	UPI000165DC89
ENSG00000174886	UPI00028409AF
ENSG00000185028	UPI0000237324
ENSG00000174886	UPI000000DCCD
ENSG00000176595	UPI0000139C1D
ENSG00000276044	UPI0000141912
ENSG00000130383	UPI000013CD7B
ENSG00000274273	UPI0004620B25
ENSG00000130383	UPI000013CD7B
ENSG00000223752	UPI000006CF3A
ENSG00000276044	UPI000013E082
ENSG00000276044	UPI0004E4C8FD
ENSG00000276044	UPI000059D7A9
ENSG00000275122	UPI00001C1E44
ENSG00000277078	
ENSG00000275122	UPI000022CCBA
ENSG00000275122	UPI0006644D1D
ENSG00000275122	UPI00001C1E44
ENSG00000188403	UPI0000113A94
ENSG00000282240	UPI0000176884
ENSG00000282342	UPI0006454777
ENSG00000223752	UPI000014137B
ENSG00000282409	UPI00001198DF
ENSG00000164366	UPI0000071C29
ENSG00000164366	UPI0001D3B0BA
ENSG00000139684	UPI000012A203
ENSG00000223752	UPI0000E5ACC6
ENSG00000139684	UPI00004075C6
ENSG00000282203	UPI0000176861
ENSG00000223752	UPI0000070EA8
ENSG00000139684	UPI000059D1E7
ENSG00000139684	UPI00038BB0B3
ENSG00000223752	UPI00001AF231
ENSG00000282455	UPI000011E8AE
ENSG00000223752	UPI000000DBC9
ENSG00000231268	UPI000165DC8A
ENSG00000100276	UPI000020749D
ENSG00000100276	UPI00001348FD
ENSG00000259490	UPI00033351E9
ENSG00000233803	UPI00002126F3
ENSG00000231268	UPI000165DC88
ENSG00000231268	UPI000165DC8C
ENSG00000233803	UPI000059DC03
ENSG00000233803	UPI0001AE64EE
ENSG00000231268	UPI000165DC8B
ENSG00000231268	UPI000195E629
