From	To	Species	Gene Name
181923	NM_075709	Caenorhabditis elegans	hypothetical protein(B0310.3)
173677	NM_062102	Caenorhabditis elegans	hypothetical protein(F39E9.6)
173679	NM_062117	Caenorhabditis elegans	BTB and MATH domain containing(bath-27)
181926	NM_073089	Caenorhabditis elegans	CYtochrome P450 family(cyp-29A4)
173678	NM_062111	Caenorhabditis elegans	BTB and MATH domain containing(bath-30)
181927	NM_064058	Caenorhabditis elegans	hypothetical protein(B0334.6)
181928	NM_064059	Caenorhabditis elegans	Serpentine Receptor, class H(srh-44)
173671	NM_062094	Caenorhabditis elegans	WHiTe (Drosophila) related ABC transporter(wht-4)
173670	NM_062088	Caenorhabditis elegans	hypothetical protein(C17F4.2)
173673	NM_182200	Caenorhabditis elegans	BTB (Broad/complex/Tramtrack/Bric a brac) domain protein(btb-17)
184719	NM_078088	Caenorhabditis elegans	Pur alpha Like Protein(plp-2)
173672	NM_062096	Caenorhabditis elegans	NEPrilysin metallopeptidase family(nep-13)
184717	NM_069110	Caenorhabditis elegans	hypothetical protein(F20C5.4)
173674	NM_062098	Caenorhabditis elegans	BTB (Broad/complex/Tramtrack/Bric a brac) domain protein(btb-16)
184715	NM_069910	Caenorhabditis elegans	hypothetical protein(F20B10.3)
184716	NM_001268396	Caenorhabditis elegans	hypothetical protein(F20C5.3)
184716	NM_001268398	Caenorhabditis elegans	hypothetical protein(F20C5.3)
184716	NM_001268397	Caenorhabditis elegans	hypothetical protein(F20C5.3)
184716	NM_001268399	Caenorhabditis elegans	hypothetical protein(F20C5.3)
183149	NM_064029	Caenorhabditis elegans	hypothetical protein(C33B4.2)
184713	NM_076311	Caenorhabditis elegans	hypothetical protein(F20B6.4)
184714	NM_076314	Caenorhabditis elegans	hypothetical protein(F20B6.6)
183147	NM_069282	Caenorhabditis elegans	TransThyretin-Related family domain(ttr-9)
184712	NM_076313	Caenorhabditis elegans	hypothetical protein(F20B6.1)
183142	NM_069276	Caenorhabditis elegans	Serpentine Receptor, class U(sru-6)
183141	NM_001307015	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-21)
183141	NM_069279	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-21)
181920	NM_062401	Caenorhabditis elegans	Serpentine receptor class alpha-33(sra-33)
183146	NM_069275	Caenorhabditis elegans	Serpentine Receptor, class U(sru-1)
183145	NM_069274	Caenorhabditis elegans	Serpentine Receptor, class U(sru-2)
181922	NM_001129615	Caenorhabditis elegans	hypothetical protein(B0310.1)
181922	NM_001129616	Caenorhabditis elegans	hypothetical protein(B0310.1)
183144	NM_069277	Caenorhabditis elegans	Serpentine Receptor, class U(sru-3)
181921	NM_062402	Caenorhabditis elegans	Serpentine Receptor, class A (alpha)(sra-36)
183143	NM_069278	Caenorhabditis elegans	Serpentine Receptor, class U(sru-4)
181936	NM_001313084	Caenorhabditis elegans	hypothetical protein(B0348.2)
181936	NM_070726	Caenorhabditis elegans	hypothetical protein(B0348.2)
173668	NM_062086	Caenorhabditis elegans	hypothetical protein(C17F4.7)
181937	NM_001313064	Caenorhabditis elegans	hypothetical protein(B0348.5)
181937	NM_001313107	Caenorhabditis elegans	hypothetical protein(B0348.5)
173667	NM_062085	Caenorhabditis elegans	hypothetical protein(C17F4.3)
181935	NM_070727	Caenorhabditis elegans	hypothetical protein(B0348.1)
173665	NM_062082	Caenorhabditis elegans	hypothetical protein(ZC239.17)
183160	NM_069116	Caenorhabditis elegans	hypothetical protein(C33D9.8)
173669	NM_062087	Caenorhabditis elegans	F-box C protein(fbxc-50)
173660	NM_062053	Caenorhabditis elegans	INSulin related(ins-31)
184729	NM_075018	Caenorhabditis elegans	Serpentine Receptor, class Z(srz-48)
173664	NM_001267135	Caenorhabditis elegans	hypothetical protein(ZC239.13)
173664	NM_001267134	Caenorhabditis elegans	hypothetical protein(ZC239.13)
184728	NM_072710	Caenorhabditis elegans	hypothetical protein(F20D6.10)
173663	NM_062073	Caenorhabditis elegans	hypothetical protein(ZC239.6)
173661	NM_062054	Caenorhabditis elegans	CHItinase-Like(chil-24)
184724	NM_072703	Caenorhabditis elegans	hypothetical protein(F20D6.5)
183159	NM_069117	Caenorhabditis elegans	Serpentine Receptor, class U(sru-35)
184725	NM_072702	Caenorhabditis elegans	hypothetical protein(F20D6.6)
183158	NM_069119	Caenorhabditis elegans	C-type LECtin(clec-182)
184726	NM_072704	Caenorhabditis elegans	hypothetical protein(F20D6.8)
184727	NM_072705	Caenorhabditis elegans	hypothetical protein(F20D6.9)
184720	NM_078090	Caenorhabditis elegans	IG(immunoglobulin) and LRR(Leucine Rich Repeat) domains(iglr-1)
184721	NM_078091	Caenorhabditis elegans	CUTiclin-Like(cutl-3)
184722	NM_072709	Caenorhabditis elegans	hypothetical protein(F20D6.1)
184723	NM_072708	Caenorhabditis elegans	hypothetical protein(F20D6.2)
183150	NM_061810	Caenorhabditis elegans	hypothetical protein(C33C12.1)
183152	NM_061803	Caenorhabditis elegans	F-box B protein(fbxb-38)
183155	NM_061807	Caenorhabditis elegans	Putative glucosylceramidase 2(gba-2)
183154	NM_061805	Caenorhabditis elegans	hypothetical protein(C33C12.7)
181931	NM_075897	Caenorhabditis elegans	WaRThog (hedgehog-like family)(wrt-9)
183157	NM_077356	Caenorhabditis elegans	hypothetical protein(C33D3.4)
181930	NM_064060	Caenorhabditis elegans	hypothetical protein(B0334.10)
183156	NM_077355	Caenorhabditis elegans	hypothetical protein(C33D3.3)
187602	NM_066442	Caenorhabditis elegans	Putative RNA-binding protein R05D3.8(R05D3.8)
181949	NM_074481	Caenorhabditis elegans	Seven TM Receptor(str-263)
187603	NM_060673	Caenorhabditis elegans	hypothetical protein(R05D7.1)
187604	NM_060674	Caenorhabditis elegans	hypothetical protein(R05D7.2)
187605	NM_071346	Caenorhabditis elegans	Serpentine Receptor, class X(srx-26)
187606	NM_071348	Caenorhabditis elegans	Serpentine Receptor, class X(srx-28)
173699	NM_062166	Caenorhabditis elegans	C-type LECtin(clec-126)
187607	NM_071349	Caenorhabditis elegans	Serpentine receptor class gamma(srg-58)
181946	NM_060263	Caenorhabditis elegans	hypothetical protein(B0379.6)
173698	NM_001267149	Caenorhabditis elegans	COLlagen(col-72)
173698	NM_001267150	Caenorhabditis elegans	COLlagen(col-72)
187608	NM_071350	Caenorhabditis elegans	hypothetical protein(R05D8.7)
187609	NM_071352	Caenorhabditis elegans	hypothetical protein(R05D8.9)
181948	NM_074482	Caenorhabditis elegans	hypothetical protein(B0391.3)
173695	NM_062161	Caenorhabditis elegans	COLlagen(col-71)
173694	NM_001047361	Caenorhabditis elegans	hypothetical protein(Y49F6B.9)
173694	NM_001047360	Caenorhabditis elegans	hypothetical protein(Y49F6B.9)
173697	NM_062165	Caenorhabditis elegans	C-type LECtin(clec-125)
173696	NM_062162	Caenorhabditis elegans	hypothetical protein(Y49F6B.2)
173691	NM_062149	Caenorhabditis elegans	hypothetical protein(C16C8.19)
173690	NM_062147	Caenorhabditis elegans	hypothetical protein(C16C8.11)
187600	NM_067758	Caenorhabditis elegans	hypothetical protein(R05C11.2)
173693	NM_062158	Caenorhabditis elegans	Suppressor of Mec and Unc defects(smu-2)
187601	NM_066445	Caenorhabditis elegans	Putative zinc finger protein R05D3.3(R05D3.3)
173692	NM_062156	Caenorhabditis elegans	F-box B protein(fbxb-104)
184733	NM_075019	Caenorhabditis elegans	hypothetical protein(F20E11.5)
184734	NM_001322603	Caenorhabditis elegans	Serpentine Receptor, class W(srw-72)
184732	NM_075017	Caenorhabditis elegans	Seven TM Receptor(str-200)
184738	NM_075016	Caenorhabditis elegans	Serpentine Receptor, class H(srh-203)
184735	NM_075020	Caenorhabditis elegans	hypothetical protein(F20E11.7)
183169	NM_077942	Caenorhabditis elegans	hypothetical protein(C33G3.5)
181942	NM_001026179	Caenorhabditis elegans	C-type LECtin(clec-225)
181942	NM_001026178	Caenorhabditis elegans	C-type LECtin(clec-225)
183168	NM_062469	Caenorhabditis elegans	hypothetical protein(C33F10.12)
181944	NM_001128939	Caenorhabditis elegans	SCP (Small C-terminal domain Phosphatase)-Like phosphatase(scpl-1)
181944	NM_170917	Caenorhabditis elegans	SCP (Small C-terminal domain Phosphatase)-Like phosphatase(scpl-1)
181944	NM_170918	Caenorhabditis elegans	SCP (Small C-terminal domain Phosphatase)-Like phosphatase(scpl-1)
183166	NM_001026845	Caenorhabditis elegans	beta-LACTamase domain containing(lact-5)
183166	NM_001026844	Caenorhabditis elegans	beta-LACTamase domain containing(lact-5)
181943	NM_060255	Caenorhabditis elegans	hypothetical protein(B0379.2)
183165	NM_078405	Caenorhabditis elegans	hypothetical protein(C33E10.10)
183164	NM_078404	Caenorhabditis elegans	hypothetical protein(C33E10.8)
184730	NM_075009	Caenorhabditis elegans	Serpentine Receptor, class SX(srsx-2)
183163	NM_078402	Caenorhabditis elegans	hypothetical protein(C33E10.6)
181940	NM_066199	Caenorhabditis elegans	hypothetical protein(B0361.4)
183162	NM_078403	Caenorhabditis elegans	hypothetical protein(C33E10.5)
183161	NM_078406	Caenorhabditis elegans	F-box A protein(fbxa-120)
187615	NM_001027095	Caenorhabditis elegans	Probable glutathione S-transferase 9(gst-9)
187613	NM_059924	Caenorhabditis elegans	PArtner of Xrn-2 (Two)(paxt-1)
183181	NM_072368	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-162)
183182	NM_072365	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-163)
187619	NM_068818	Caenorhabditis elegans	hypothetical protein(R05G6.1)
181958	NM_065582	Caenorhabditis elegans	hypothetical protein(B0393.7)
181959	NM_065576	Caenorhabditis elegans	hypothetical protein(B0393.8)
173689	NM_062144	Caenorhabditis elegans	hypothetical protein(C16C8.14)
187617	NM_062484	Caenorhabditis elegans	hypothetical protein(R05F9.7)
181956	NM_001276971	Caenorhabditis elegans	F-box A protein(fbxa-152)
181956	NM_074477	Caenorhabditis elegans	F-box A protein(fbxa-152)
173688	NM_062143	Caenorhabditis elegans	hypothetical protein(C16C8.16)
187618	NM_062495	Caenorhabditis elegans	hypothetical protein(R05F9.11)
181957	NM_065583	Caenorhabditis elegans	hypothetical protein(B0393.6)
